Medicine 1,Medicine 2
ACCUPRIL TABS F.C. 10MG 28,Staxin (400mg) 5 Tablets
ACCUPRIL TABS F.C. 5MG 28,Xofyl-400 (400mg) 30 Tablets
ACCURA TABS F.C. 20,Glio-P (30/2mg) 14 Tablet
ACCUTANE CAPS 20MG 10,Moxigan (0.5%) 5ml Eye Drops
ACD PLUS DROP DROPS 15ML,Pond's (Triple Vitamin Moisturizing) 200ml Lotion
AC-D3 AMP. 5MG 1ML,Dzire (Delay Timing) 3 Condoms
ACDERMIN JEL. 20G,Primapore (20cm x 10cm) 20 Dressings
ACE BEX CAPS 20,De-Mal Dermcool 100ml Body Lotion
ACE BEX-P CAPS 30,Acnex (2%) 100g Bar
ACE VIT CAPS 20,Skelet-SR (6mg) 10 Capsules
ACEARTIN TABS 50MG 20,Cal One D (830mg/400IU) 30 Tablets
ACECLOCARE TABS F.C. 100MG 10,Quash (500mg) 14 Tablets
ACECOL TABS 100MG 10,Avent Natural (0m+) 2 Nipples
ACEFER SYRUP 50MG 120ML,Glioptim (4mg) 20 Tablets
ACEFER SYRUP 50MG 60ML,Probeta (0.1%) 7.5ml Eye-Ear-Nose Drops
ACEFER-F TABS CHWE 10,Nivea Extra Whitening 25ml Roll-On Deodorant
ACEFER-F TABS CHWE 30,Dermolite Neem 90g Soap
ACEFORD TABS F.C. 100MG 10,Targocid (400mg) 1 Injection
ACEFYL COUGH SYRUP 120ML,Glucobay (100mg) 30 Tablets
ACEFYL COUGH SYRUP 125ML,Amdipine (10mg) 30 Tablets
ACEFYL COUGH SYRUP 60ML,Alvostan (5/160mg) 14 Tablets
ACEFYL COUGH SYRUP 90ML,Relaxicam (4.0mg) 30 Tablets
ACEFYL COUGH SYRUP S.FREE 125ML,LaSual 120ml Syrup
ACEFYL SYRUP 125MG 120ML,Poly Color Tint (43-Dark Brown) Hair Colour
ACEFYL SYRUP 125MG 125ML,Dorbid (50mg) 20 Tablets
ACEFYL SYRUP 125MG 60ML,Morinaga BF-2 900g Powdered Milk
ACEFYL SYRUP 125MG 90ML,Canbebe 6 (Extra Large) Instant Dryness 44 Pants
ACELAR TABS 10MG 20,Cavalor (50mg/ml) 15ml Oral Drops
ACELISH TABS F.C. 100MG 10,Cefia (100mg/5ml) 60ml Suspension
ACELISH TABS F.C. 100MG 30,"Microrid (500mg) 2ml, 1 Injection"
ACELO CAPS S.R. 200MG 30,Inspra (4mg) 14 Chewable Tablets
ACELO TABS F.C. 100MG 10,Secnidal Forte 2 Tablets
ACELO TABS F.C. 100MG 30,Roar 250ml Bottle
ACEMED TABS F.C. 100MG 10,Lyke Absolute 200ml Body Spray
ACEMOX TABS 250MG 30,Artecxin Forte (40/240mg) 8 Tablets
ACENAC AMP IM 50MG 3ML 5,Nezo-600 (600mg) 10 Tablets
ACENAC CAPS S.R. 200MG 30,Schizap (5mg) 10 Tablets
ACENAC JEL. 1.5% 20G,Zeiss CT Lucia (28) Lens
ACENAC JEL. 1.5% 50G,Gastrocid 100ml Syrup
ACENAC TABS 100MG 30,Pampers 5 (Junior) 60 Baby Diaper
ACENAC VIAL DRY 150MG 4ML,Blokium (25mg) 30 Tablets
ACENIM TABS F.C. 100MG 10,Shirin Vatan Downy Cake
ACENIM TABS F.C. 100MG 30,Nizoral (200mg) 10 Tablets
ACER-OD TABS L.A 40MG 10,Prosotec (200mcg) 10 Tablets
ACETADOL TABS 500MG 200,Acnesan 100ml Face Wash
ACETAMIDE TABS 250MG 30,Escam (10mg) 14 Tablets
ACETAMOL VIAL IV 1000MG 100ML,Telmis (40mg) 14 Tablets
ACETINE TABS 30,Infacol 120ml Suspension
ACETITE SYRUP 120ML,Cerixone (1g) 10 Injections
ACETOFEINE TABS 500MG/65M 100,Santrin (25mg) 10 Capsules
ACETOFEN TABS 450MG/35M 100,Clycin-V (20mg/g) Cream
ACETOL TABS F.C. 100MG 10,PRICKLY HEAT POWDER (EDEN)
ACETON VIAL DRY 1G,Revolade (25mg) 28 Tablets
ACETON VIAL DRY 250MG,D-Cam 120ml Syrup
ACETON VIAL DRY 500MG,Easypas (0.4mg) 10 Capsules
ACETOPRIL TABS 25MG 20,Levotam (100mg/ml) 60ml Oral Solution
ACETOSAL TABS 500MG 100,Neutrogena Deep Clean Energizing 85g Face Wash
ACETRA TABS F.C. 10,Vermox (100mg/5ml) 30ml Oral Suspension
ACEZOLE CAPS ENTER 20MG 14,Droxaryl (5%) 20g Cream
ACEZOLE CAPS ENTER 40MG 14,Zopent (40mg) 20 Tablets
ACFLOX TABS F.C. 400MG 5,Xeticam (250mg) 10 Tablets
ACHFREE JEL. 25G,Nuwel (5mg) 30 Tablets
ACICHEK CAPS ENTER 20MG 14,Epicetam (500mg/5ml) 1 Ampoule Injection
ACICHEK CAPS ENTER 40MG 14,Cef-OD (400mg) 5 Capsules
ACICHEK VIAL DRY 40MG,X-Gen (0.5%) 5ml Eye Drops
ACICON PLUS TABS CHWE 10MG 30,Savoxacin (250mg) 10 Tablets
ACICON SUSP 10MG 60ML,Daclahep (60mg) 28 Tablets
ACICON SUSP DRY 10MG 60ML,Pelton 120ml Suspension
ACICON SUSP DRY AD 40MG 60ML,Bold Insta White 50ml FaceWash
ACICON TABS 20MG 10,A TONE CREAM 25G
ACICON TABS 40MG 10,Caricef (400mg) 5 Capsules
ACID OF SUSP 120ML,Loxiget (0.3%) 3.5g Eye Ointment
ACIDIL TABS 400MG 10,Gexim (200mg/5ml) 30ml Suspension
ACIDONIL TABS 150MG 10,Mapril (2.5mg) 28 Tablets
ACIFIX TABS C.E. 20MG 14,Calciferol Softgel (50000IU) 1 Softgel Capsules
ACILOC CAPS ENTER 20MG 14,Nivea Men Fresh Power Boost 150ml Body Spray
ACILOC CAPS ENTER 40MG 14,Co Amoxi (312.5mg/5ml) 60ml Suspension
ACIM CAPS 250MG 6,L'oreal Aura Perfect Milky 100ml Face Wash
A-CIP TABS 250MG 10,Ulcenil (10mg/5ml) 120ml Suspension
A-CIP TABS 500MG 10,Normitab Plus (50/12.5mg) 14 Tablets
A-CIP VIAL INFUSIO 200MG 100ML,Pantra (100mg/2ml) 5 Ampoule Injections
ACIPRAZ CAPS ENTER 20MG 14,Neotex Hot Shapers (N) Body Shaper Belt
ACIPRAZ CAPS ENTER 40MG 14,Estiram (10mg) 10 Tablets
ACIPRAZ VIAL DRY 40MG,Vinjec (500mg) 1 Vial Injection
ACIREG CAPS ENTER 20MG 14,Close Up Deep Action Red Hot 70g ToothPaste
ACIREG CAPS ENTER 40MG 14,Aminoleban Oral 450g Granules
ACIREG VIAL DRY IV 40MG,Bepsar (25mg) 20 Tablets
ACIVIRAN CREAM 5% 10G,Levogreen (250mg) 10 Capsules
ACIZOL CAPS ENTER 20MG 10,Larith XL (500mg) 5 Tablets
ACIZOL CAPS ENTER 20MG 14,Mydrex (1.0%) 15ml Eye Drops
ACIZOL CAPS ENTER 40MG 14,TRESemme 7Day Smooth 250ml Shampoo
ACIZOL CAPS ENTER 40MG 14,Clarion (125mg/5ml) 60ml Suspension
ACK-DERM SOAP 100G,Gabinal (75mg) 14 Capsules
ACLASTA INFUSION IV 5MG 100ML,Britannia Digestive (Sugar Free) 350g Biscuit
ACLONAC-K TABS F.C. 50MG 20,Traumanil (50mg) 10 Capsules
ACLOVA TABS 400MG 10,Troy (1g) 1 Vial Injection
ACLOVA TABS 800MG 10,Velora (250mg) 12 Capsules
ACLOVA VIAL IV 250MG 10ML 5,Nutraxin B Vitamin Complex 60 Tablets
ACLOVIR SYRUP 200MG/5ML 60ML,Fungix (150mg) 1 Capsules
ACLOVIR TABS 400MG 35,"Azitma (500mg) 5ml, 1 Injection"
ACLOVIR TABS 800MG 20,Shield Smoker Toothbrush
ACLOVIR VIAL IV 250MG 10ML,Saigab (50mg) 14 Capsules
ACLOVIR VIAL IV 500MG 10ML,Bengal Surgicals 7.5g Crepe Bandage
ACNE A PLUS CREAM 20G,Nature'S Bounty Chromium Picolinate (800mcg) 50 Tablets
ACNE AID SOAP 65G,Terbiderm (1%) 20ml Topical Solution
ACNE CARE CREAM 20G,G-Cal (200000IU) 4 Softgels
ACNE DERM SOAP 90G,Zetro (200mg) 25ml Suspension
ACNE MED CREAM 25G,Frulic-C 20ml Serum
ACNE MED LOTION 30ML,Zexa (10mg) 56 Tablets
ACNE SOFT LIQ CLEANSER 100ML,Magura (2mg) 30 Tablets
ACNE SOFT SOAP 100G,Hapi Napi 3 (Medium) 72 Baby Diapers
ACNE WASH CREAM 20G,Revlon ColorSilk (40-Medium Ash Brown) Hair Colour
ACNE WASH SOAP 5% 90G,Sionex (125mg/5ml) 90ml Suspension
ACNEFIX LIQ CLEANSER 75ML,Gliptin Plus (50/500mg) 10 Tablets
ACNEFON CAPS 20MG 10,Saw Palmetto (270mg) 30 Capsules
ACNE-LENE CREAM 0.1% 15G,Polymalt (100mg) 20 Tablets
ACNE-LENE JEL. 0.3% 15G,Aultocip (250mg) 10 Tablets
ACNE-LENE LIQ CLEANSER 150ML,Sovela (400/100mg) 28 Tablets
ACNES C10 DROPS 15ML,KidzVits Power Biscuits
ACNES CREAMY WASH CREAM 50G,Calvitos 100 Tablets
ACNES FAIRNES WASH CREAM 50G,Warior (500mg) 10 Tablets
ACNES SCARE CARE JEL. 12G,Trisil (200/200/25mg) 500 Tablets
ACNES VITAMIN WASH CREAM 50G,Co-Mether (15/90mg) 60ml Suspension
ACNESAFE CREAM 20% 10G,O-Zole (20mg) 100 Capsules
ACNESAFE LOTION 30ML,Velosef (1g) 1 Vial Injection
ACNESAFE LOTION 60ML,Dawn Fruit Cake (RS 15)
ACNESAN JEL. 40G,MonTair (4mg) 14 Chewable Tablets
ACNESAN LIQ CLEANSER 100ML,Cymbalta (30mg) 14 Capsules
ACNESAN LIQUID ADVAN 75ML,Locus (500mg) 10 Tablets
ACNEY CREAM 15G,Cefxone (250mg) 1 Vial Injection
ACNEY SOAP 100G,Zentel (400mg/5ml) 10ml Oral Suspension
ACNICOT JEL. 20G,Biforge (5/80mg) 14 Tablets
ACNOT TABS 2MG 21,Cefexol (400mg) 5 Capsules
ACNOZ CAPS 20MG 10,Ostegem 30 Tablets
ACOID TABS F.C. 160MG/5M 14 /12M,Cremaffin 120ml Syrup
ACORT CREAM 10G,Atorin (10mg) 10 Tablets
ACORVY SYRUP COUGH 120ML,Trobicin (2g) 1 Vial Injection
ACOTIN CAPS 25MG 30,Telox (300mg/5ml) 60ml Oral Suspension
ACOVERT TABS F.C. 160MG/10M 14,Kreams Gold (Chocolate) Biscuit
ACOVERT TABS F.C. 80MG/5M 14,Abaglin (300mg) 10 Capsules
ACRID CAPS 100MG 50,Nivea Fresh Comfort 50ml Roll-On Deodorant
ACROGEL GEL EYE 2MG 10G,Ulcerex (400mg) 10 Tablets
ACROWIL-F CAPS SOFT 30,Relispa Fort (80mg) 20 Tablets
ACROWIL-F SACHETS 10,Naproxen (500mg) 100 Tablets
ACSOLVE JEL. 1% 10G,Ertuvia (7.5/500mg) 14 Tablets
ACSOLVE LOTION 1% 30ML,Citizen (CH 657) Wrist Blood Pressure Monitor
ACTEEN CREAM 30ML,Collagix Collagen (Biotin+VitaminC) 30 Tablets
ACTEEN HYDRAMAT CREAM 40ML,Epilim EC200 (200mg) 100 Tablets
ACTEEN PURIFY CLEA JEL. 200ML,Titan (1000mg) 1 Vial Injection
ACTEEN QUICK PEN CREAM 10ML,Kinra (250mg) 6 Tablets
ACTEEN REBALANCING LIQ CLEANSER 150ML,Respond (1mg) 100 Tablets
ACTFREE TABS 30,Merofer (100mg/5ml) 5 Ampoule Injections
ACTI+ CAPS SOFT 30,Ticlid (250mg) 20 Tablets
ACTIDIL ELIXIR 3MG 60ML,Gabiun (50mg) 14 Capsules
ACTIF CAPS ENTER 20MG 14,Levijon 120ml Syrup
ACTIF CAPS ENTER 40MG 14,M-Pro (250mg) 10 Tablets
ACTIFED DM SYRUP 60ML,Garnier (4.6-Deep Red ) Hair Colour
ACTIFED DM SYRUP 90ML,Vitasia 100 Tablets
ACTIFED P COLD TABS 400,Pampers Premium Care 2 ( Mini) 80 Baby Diapers
ACTIFED P ELIXIR 90ML,Dowvigil (100mg) 20 Tablets
ACTIFIBER POWD. JAR HS 150G,Viglip-M (50/1000mg) 14 Tablets
ACTIFIBER POWD. JAR HS 150G LEM,Dairy Milk 20g Chocolate
ACTIFIBER SACHETS 10,Omron M6 (Comfort Automatic Upper Arm) Blood Pressure Monitor
ACTIFLOR POWD. SACHET 250MG 10G 10,Buzon (4mg) 10 Tablets
ACTI-JOINT TABS 15,Advancis Flexi Joints Plus 30 Tablets
ACTI-JOINT TABS 30,Sense-T 75g Toothpaste
ACTIL LOTION 15ML,Seef (25mg) 20 Tablets
ACTILYSE VIAL DRY 50MG 50ML 2,Collagen (Bioturmic) Sugar Free 30 Tablets
ACTIM TABS F.C. 10MG 14,Carex Nourish Derma Care 250ml Hand Wash
ACTIM TABS F.C. 2.5MG 20,Canbebe 1 New Born 84 Baby Diapers
ACTIM TABS F.C. 2.5MG 30,Pantene Pro-V (Smooth & Strong) 650ml Shampoo
ACTIM TABS F.C. 5MG 14,Ostelin 130 Tablets
ACTINIB TABS F.C. 10MG 10,Move Free Joint Health 80 Tablets
ACTINIB TABS F.C. 5MG 10,Orcy (0.3%) 5g Eye Ointment
ACTIRON CF TABS 100,Devenda (250mg) 30 Tablets
ACTIRON TABS 100,Olepra (5mg) 10 Tablets
ACTIVAROL C AMP. 500MG 10ML 24 ORAL,Allorat (5mg/5ml) 60ml Syrup
ACTIVITAL SYRUP 120ML,VC-Cal (Orange) 10 Sachets
ACTIVITAL SYRUP 240ML,Monocef (500mg) 1 Vial Injection
ACTIVOL PLUS TABS F.C. 325MG/37M 10,Pelton V (12.72mg) 50 Tablets
ACTNISE CREAM 50G,Lotepred-T (0.5/0.3%) 5ml Eye Drops
ACTNISE CREAM 50G 6,Sucrate (1g/5ml) 200ml Suspenion
ACTOPIL TABS 800MG 30,Velax XR (75mg) 10 Tablets
ACTROLIC AMP. 30MG 1ML 5,Selcarb (800mg) 30 Tablets
ACUKAT DROPS EYE 0.1% 5ML,Isoket (20mg) 60 Tablets
ACUKAT OD DROPS EYE 0.3% 3ML,Osto D3 (60000IU) 4 Softgel Capsules
ACUMAB AMP IM 500Y 1ML,Protect (ABC Strawberry) 60g ToothPaste
ACUMAB TABS 500Y 28,Enoxabid (400mg) 20 Tablets
ACUPAZ TABS 0.25Y 100,Pregwell 30 Tablets
ACURON AMP IV 10MG 3ML 5,Glykin (500mg/2ml) 1 Injection
ACURON AMP IV 50MG 5ML 5,Recept (3mg) 10 Tablets
ACYCLOVIR VIAL DRY IV 500MG 10ML,Eyfem (0.1%) 5g Eye Ointment
ACYLEX CREAM 5% 10G,E-Lax 100ml Syrup
ACYLEX OINT 5% 5G,Tiger (Mosquito Repellents) 600ml Spray
ACYLEX SUSP 200MG 60ML,R-Vastin (10mg) 10 Tablets
ACYLEX TABS 200MG 25,Nivea (Nourishing) 250ml Body Spray
ACYLEX TABS 400MG 20,Methotrexate-7.5 (7.5mg) 100 Tablets
ACYLEX TABS F.C. 800MG 10,Hair Well 300ml Shampoo
ACZOFENA TABS 100MG 10,Diagesic Plus SR (100mg) 30 Capsules
ACZON VIAL DRY 2G 2G,Rostatin (10mg) 10 Tablets
ACZON VIAL DRY IM 1G 3.5ML,Tramed (50mg) 10 Capsules
ACZON VIAL DRY IM 250MG 2ML,T-Quil (3mg) 30 Tablets
ACZON VIAL DRY IM 500MG 2ML,Cardnit (2.6mg) 30 Tablets
ACZON VIAL DRY IV 1G 10ML,Glitos (15mg) 14 Tablets
ACZON VIAL DRY IV 250MG 5ML,Irbesar (300mg) 10 Tablets
ACZON VIAL DRY IV 500MG 5ML,Minoxin (2%) 60ml Topical Solution
AD FOLIC TABS F.C. 300Y 30,Mirotose 10 Tablets
AD FOLIC TABS F.C. 600Y 30,Multiwin 30 Tablets
AD-3 DROPS 15ML,Clarimor (500mg) 10 Tablets
ADABLIZER TABS 10MG 30,Oxalepsy (600mg) 50 Tablets
ADABLIZER TABS 15MG 30,Benzor AM (5/20mg) 20 Tablets
ADACIDOL TABS 0.5Y 30,Dicny Eye (0.1%) 5ml Eye Drops
ADACIP TABS F.C. 250MG 10,Cheetos Puffs (RS 15) Snack
ADACIP TABS F.C. 500MG 10,Exelon (6mg) 28 Capsules
ADAFERIN CREAM 0.1% 15G,Amlod-P (10/8mg) 10 Tablets
ADALAT TABS L.A 30MG 20,Mykast 10mg 30 Tablets
ADALAT TABS L.A 60MG 20,Vitaxen-W For Women (Multivitamins) 30 Tablets
ADALAT TABS RETARD 20MG 30,Nurtulac (Wheat & Milk) 175g Baby Cereal
ADALIN SYRUP 120ML,Cisec (20mg) 14 Capsules
ADALIN SYRUP 450ML,Poze G (30/4mg) 14 Tablets
ADAMON TABS C. 10MG 100,Duron Plus 30 Tablets
ADAPCO CREAM 0.1% 15G,Winfer-F 30 Tablets
ADAPCO JEL. 0.1% 15G,Calcee-500 (Orange) 10 Sachets
ADAPCO JEL./FORT 15G,Arcin (250mg) 10 Capsules
ADAPTIN JEL. 0.10% 15G,Arcox (60mg) 10 Tablets
ADBERRY SACHETS 8G 10,Telfast-D (60/120mg) 10 Tablets
AD-BRO DROPS 10ML,Lays Chips (Rs 20) Chips
AD-D TABS CHWE 10KU 8,Lovafam (250mg) 10 Tablets
AD-D TABS CHWE 2000IU 30,Adios (400mg) 10 Tablets
ADD-3 DROPS 10ML,Meiji Mamilac (350g) Powdered Milk
ADDFER SYRUP 60ML,Ophth-Oflox (0.3%) 3.5g Eye Oinment
ADDFER-F TABS 0.35MG 10,Pyrazid (500mg) 50 Tablets
ADDRESS HCT TABS F.C. 160MG/10M 28 /12M,Fair & Lovely Glowing Skin 110g Soap
ADDRESS HCT TABS F.C. 160MG/10M 28 /25M,Penbritin (500mg) 100 Capsules
ADDRESS HCT TABS F.C. 160MG/5M 28 /25M,Famoscot (10mg/5ml) 60ml Oral Suspension
ADDRESS HCT TABS F.C. 320MG/10M 28 /25M,Resolip (20mg) 10 Tablets
ADDRESS TABS F.C. 160MG/10M 14,"Prolene (4-0) 19mm, 75cm,36 Sutures"
ADDRESS TABS F.C. 160MG/10M 28,Chatooli 100 Candy
ADDRESS TABS F.C. 160MG/5M 28,Bilagol-L (67g/100ml) 120ml Syrup
ADDRESS TABS F.C. 160MG/5MG 14,Canderel Stevia 50 Sachets
ADDRESS TABS F.C. 80MG/5M 28,Orlit (120mg) 30 Capsules
ADDRESS TABS F.C. 80MG/5MG 14,Bracin-D (0.03/0.01%) 5ml Eye Drops
ADD-ZINC SYRUP 120ML,Capri 175g Soap
ADEK-Z DROPS 30ML,Respicare (4mg) 14 Sachets
ADEMAC CREAM 1% 10G,Clexane (8000anti-Xa IU/0.8ml ) 2 Prefilled Syringes
ADEMAC TABS 250MG 10,Acukat (0.1%) 5ml Eye Suspension
ADENOL TABS 400MG 10,Kefril (250mg) 12 Capsules
ADENURIC TABS 40MG 20,Sertex (100mg) 20 Tablets
ADENURIC TABS 80MG 20,Terlip (1mg) 1 Vial Injection
A-DEW DROPS 10ML,Cadbury Dairy Milk Fruit and Nut 38g Chocolate
ADF CREAM 30G,Zam C 30g Skin Cream
ADICOS COUGH SYRUP 120ML,Rhinoff (200/30mg) 100 Tablets
ADICOS COUGH SYRUP 450ML,Dowfen (2.5%) 25g Gel
ADICOS COUGH SYRUP 60ML,COOPEX LOTION (ANTI LICE)
ADICOS M COUGH SYRUP 120ML,Hamdard Jernide 120ml Syrup
ADICOS M COUGH SYRUP 60ML,Recalbon (0.5mcg) 10 Tablets
ADIFLOX TABS F.C. 200MG 10,Cefxone (0.5g) 1 IM Vial Injection
ADIK TABS S.R 100MG 30,Gorey Super Tip Toothbrush
ADIOS INFUSION IV 200MG 100ML,UV MATT SPF 60 SUNSCREEN
ADIOS TABS F.C. 200MG 10,Lux (Creamy Perfection Plus) 40g Soap
ADIOS TABS F.C. 400MG 10,Amsart (5/160mg) 14 Tablets
ADIVIT TABS 20,Comet (850mg) 10 Tablets
ADJEX VIAL DRY 1G,Branula 24g (1.3 mm) Yellow Stopper Needle
ADJEX VIAL DRY 250MG,Johnson Baby Oil 200ml
ADJEX VIAL DRY 500MG,SENSODYNE M/WASH BLUE 500ML
ADLOXIN INFUSION IV 400MG 250ML,Nomin (50mg) 20 Tablets
ADMIRA CAPS 250MG 10,Rotec-75 (75mg/200mcg) 20 Tablets
ADMIRA SUSP 200MG 15ML,Head & Shoulders (Anti Hair Fall) 75ml Hair Shampo
ADMIRA TABS F.C. 500MG 6,Lactena 3 (Growing-Up Formula ) 200g Powdered Milk
ADMIT TABS F.C. 1000MG/50M 14,Qarshi Fauladi Tonic 240ml Syrup
ADMIT TABS F.C. 100MG 14,Koncept (40mg) 1 Vial Injection/Infusion
ADMIT TABS F.C. 25MG 14,Tamsolin Plus (0.4/0.5mg) 20 Capsules
ADMIT TABS F.C. 500MG/50M 14,Remit DR (30mg) 30 Capsules
ADMIT TABS F.C. 50MG 14,Pampers (Medium ) 10 Dry Diapers
ADMORE DROPS 400IU 10ML,Sofvasc-V (5/160mg) 14 Tablets
ADMORE TABS 30,Glorex (400mg) 10 Capsules
ADN6 TABS 30,Winzith (250mg) 6 Tablets
ADODERM CREAM 10G,Riomed (125mg/5ml) 60ml Suspension
ADOLAN AMP. 100MG 2ML 10,Yardley London 200ml Body Lotion
ADOLAN CAPS 50MG 10,Daclit (60mg) 28 Tablets
ADOLAN TABS S.R 100MG 10,Musidin SR (6mg) 10 Capsules
ADORA TABS 20,Omsana DIU (40/12.5mg) 14 Tablets
ADOSETRON AMP. 8MG 4ML 5,Oribro (100mg/5ml) 50ml Suspension
ADOSETRON TABS 8MG 12,"Vicryl 1 (VCP353H) 40mm, 70cm, 36 Sutures"
ADOXA TABS 100MG 30,Qarshi Arq-e-Gulab Khalis 120ml Rose Water
ADRANCE M TABS F.C. 1000MG/12M 14,Optachlor (1%) 5g Eye Ointment
ADRANCE M TABS F.C. 1000MG/5M 14,Simva Plus (10/20mg) 10 Tablets
ADRANCE M TABS F.C. 500MG/12M 14,Amclav (625mg) 6 Tablets
ADRANCE M TABS F.C. 500MG/5M 14,Molfix 2 (Mini) Jumbo Economy 80 Diapers
ADRANCE M TABS F.C. 850MG/12M 14,Histanil (10mg) 30 Tablets
ADRANCE M TABS F.C. 850MG/5M 14,D-Tab 30 Tablets
ADRANCE TABS F.C. 10MG 14,Trifort ( 37.5/325mg) 10 Tablets
ADRANCE TABS F.C. 25MG 14,Kurative Xtreme 10 Tablets
ADRENALINE AMP IV 1MG 1ML 100,Cazid (100mg/5ml) 60ml Syrup
ADRENALINE AMP SC 1MG 1ML 100,Candistat (2.00%) 20g Oral Gel
ADRIBLASTINA VIAL DRY 10MG 5ML,DIAJARD-M 12.5/1000MG TAB 14'S
ADRIBLASTINA VIAL DRY 50MG 5ML,X-Plended (10mg) 10 Tablets
ADRIM VIAL DRY IV 10MG 5ML,Ispep (40mg) 20 Tablets
ADRIM VIAL DRY IV 50MG 25ML,Seradep (10mg) 14 Tablets
ADRONIL AMP IV 3MG 3ML,Garnier (5 1/2-Glacial Brown) Hair Colour
ADRONIL TABS F.C. 150MG,Lumark XR-500 (500mg) 10 Tablets
ADS CAPS 40MG 28,"Nexum (40mg) 5ml, 1 Vial Injection Infusion"
ADVACORT CREAM 0.1% 10G,Reaox (10mg ) 10 Tablets
ADVACORT LOTION 0.1% 60ML,Macot (20mg) 20 Tablets
